Time (min),Bottom Left (°C),Bottom Middle (°C),Bottom Right (°C),Top Can (°C),Air (°C)
612,9.010428935,8.23988756,8.446549699,8.013237544,7.947719709
615,8.983690244,8.223613735,8.43503945,7.992537485,7.896379598
618,8.957830687,8.198672681,8.415788195,7.970376005,7.910084395
621,8.936108918,8.176885482,8.398632673,7.943922723,7.864961892
624,8.911226646,8.153868891,8.366348557,7.921469216,7.856511069
627,8.885719356,8.129104703,8.349760606,7.901549765,7.824204233
630,8.864539527,8.104524561,8.31868594,7.874514511,7.832437773
633,8.841661874,8.085513346,8.300901723,7.858312281,7.841011374
636,8.814497671,8.065338884,8.280269794,7.830699371,7.814802309
639,8.791603657,8.046626589,8.267031415,7.808338835,7.817390971
642,8.770660089,8.019721273,8.244192101,7.787857262,7.781151024
645,8.747972592,7.997845834,8.222038068,7.764755045,7.822868315
648,8.724500916,7.977751677,8.203767713,7.744065605,7.813302936
651,8.702964574,7.955515492,8.18307403,7.723024347,7.76302923
654,8.67706937,7.931064549,8.158165285,7.699206635,7.745597999
657,8.657156248,7.907611588,8.139062593,7.678141564,7.784540162
660,8.632041788,7.887976745,8.112302104,7.657455154,7.737569185
663,8.611238594,7.862581079,8.100241055,7.637675817,7.735475655
666,8.589343638,7.852762692,8.077963145,7.615506034,7.703195318
669,8.566131189,7.822151129,8.06142261,7.590967399,7.687678035
672,8.545691533,7.802804569,8.040598676,7.574182201,7.67366447
675,8.520303204,7.780193077,8.018935266,7.549608647,7.677549303
678,8.500868623,7.759148583,7.985851807,7.52702166,7.651838341
681,8.480595721,7.739091038,7.981515105,7.507491948,7.636308208
684,8.456953448,7.718507485,7.959701597,7.486909978,7.635902552
687,8.437116379,7.693305773,7.939446333,7.469710317,7.618140676
690,8.412821401,7.678876034,7.917997021,7.441631695,7.616975445
693,8.395264263,7.654971827,7.895319198,7.42618573,7.609774817
696,8.368872374,7.635041656,7.877528564,7.404958389,7.60164061
699,8.354011472,7.605831242,7.85126409,7.387013111,7.569158168
702,8.331734722,7.586822808,7.840887171,7.367900636,7.587664978
705,8.310291196,7.564051867,7.826850413,7.346252581,7.571875198
708,8.293340947,7.546750407,7.804004915,7.327725802,7.556224717
711,8.273192274,7.525661736,7.780247817,7.308708489,7.536504501
714,8.247826222,7.509460145,7.76492215,7.2874555,7.541602378
717,8.234879025,7.48995434,7.741659924,7.267775627,7.539851822
